codi_barri,poblacio_total,pct_pob_estrangera,pct_pob_estrangera_occidental,pct_joves,pct_universitaris,import_euros,index_gini,total_incidents_1000_hab,locals_restauracio_1000_hab,locals_sanitaris_1000_hab,locals_serveis_professionals_1000_hab,preu_mitja_m2,pisos_turistics_1000_hab,cluster
11,40222,0.2913828253194769,0.0810004475162846,0.3336233901844762,0.2009596738103525,11037.541666666666,34.5625,17.080204863010295,8.005569091541943,0.5221023320570832,1.267962806424345,11.1,13.574660633484164,2
12,1122,0.0873440285204991,0.0115864527629233,0.3172905525846702,0.0472370766488413,9003.0,31.3,424.24242424242425,6.238859180035651,0.0,0.8912655971479501,6.6,2.6737967914438503,1
13,30237,0.1298078513080001,0.0236465257796739,0.2539273076032675,0.1152561431358931,11453.470588235294,30.03529411764706,16.46988788570295,3.075701954558984,0.8929457287429309,0.4630088963852234,8.4,0.1984323841650957,1
14,10371,0.1838781216854691,0.0622890753061421,0.2953427827596181,0.2433709381930383,13976.857142857143,32.65714285714286,33.55510558287533,3.278372384533796,1.0606498891138754,0.7713817375373637,11.3,7.135281072220615,1
15,15758,0.2038329737276304,0.0583195837035156,0.3224393958624191,0.237466683589288,13370.0,34.980000000000004,30.46071836527478,5.774844523416678,0.6980581292042137,0.6980581292042137,11.1,11.866988196471636,2
16,18384,0.1208659704090513,0.0279590948651,0.2682767624020887,0.1858681462140992,13377.76923076923,31.023076923076925,26.000870322019143,3.154917319408181,0.4351610095735422,1.3054830287206267,9.8,2.284595300261097,1
17,24016,0.1597268487674883,0.0312708194536975,0.2866422385076616,0.2021568954030646,13373.375,32.96875,17.19686875416389,2.331778814123917,0.5413057961359095,1.3324450366422385,10.7,3.747501665556296,1
18,40703,0.1605532761712895,0.0440753752794634,0.2942043584011006,0.2570817875832248,14615.551724137931,33.286206896551725,14.249563914207798,4.790801660811242,0.5896371274844606,1.00729675945262,11.0,4.643392378940127,2
19,46003,0.1031889224615786,0.0360846031780536,0.2558963545855705,0.350651044497098,19300.314285714285,34.32,12.347020846466537,7.086494359063539,1.7172793078712258,1.478164467534726,11.8,3.717148881594679,3
20,23810,0.1046619067618647,0.0295674086518269,0.2602267954640907,0.3152036959260815,17443.533333333333,32.306666666666665,20.789584208315837,4.577908441831164,1.133977320453591,1.1759764804703905,11.4,1.511969760604788,3
21,11716,0.149453738477296,0.0813417548651416,0.2214066234209628,0.4199385455786958,25964.571428571428,39.06,38.32365995220212,3.072721065209969,0.5121201775349948,0.0,14.1,0.6828269033799932,3
22,4604,0.1320590790616854,0.0907906168549087,0.2228496959165942,0.3240660295395308,17615.0,39.06666666666666,82.10251954821894,3.0408340573414425,0.2172024326672458,0.2172024326672458,12.1,0.6516072980017377,3
