Codi_Incident,Descripcio_Incident,Codi_districte,Nom_districte,Codi_barri,Nom_barri,NK_Any,Mes_any,Nom_mes,Numero_incidents_GUB
000,INCENDIS,05,Sarrià-Sant Gervasi,23,Sarrià,2025,5,maig,10
000,INCENDIS,05,Sarrià-Sant Gervasi,23,Sarrià,2025,6,juny,19
000,INCENDIS,05,Sarrià-Sant Gervasi,23,Sarrià,2025,7,juliol,6
000,INCENDIS,05,Sarrià-Sant Gervasi,23,Sarrià,2025,8,agost,7
000,INCENDIS,05,Sarrià-Sant Gervasi,23,Sarrià,2025,9,setembre,1
000,INCENDIS,05,Sarrià-Sant Gervasi,23,Sarrià,2025,10,octubre,4
000,INCENDIS,05,Sarrià-Sant Gervasi,23,Sarrià,2025,11,novembre,5
000,INCENDIS,05,Sarrià-Sant Gervasi,23,Sarrià,2025,12,desembre,4
000,INCENDIS,05,Sarrià-Sant Gervasi,24,les Tres Torres,2025,1,gener,1
000,INCENDIS,05,Sarrià-Sant Gervasi,24,les Tres Torres,2025,3,març,2
000,INCENDIS,05,Sarrià-Sant Gervasi,24,les Tres Torres,2025,4,abril,5
000,INCENDIS,05,Sarrià-Sant Gervasi,24,les Tres Torres,2025,5,maig,1
000,INCENDIS,05,Sarrià-Sant Gervasi,24,les Tres Torres,2025,6,juny,6
000,INCENDIS,05,Sarrià-Sant Gervasi,24,les Tres Torres,2025,7,juliol,5
000,INCENDIS,05,Sarrià-Sant Gervasi,24,les Tres Torres,2025,8,agost,3
000,INCENDIS,05,Sarrià-Sant Gervasi,24,les Tres Torres,2025,10,octubre,1
000,INCENDIS,05,Sarrià-Sant Gervasi,24,les Tres Torres,2025,11,novembre,2
000,INCENDIS,05,Sarrià-Sant Gervasi,24,les Tres Torres,2025,12,desembre,3
000,INCENDIS,05,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2025,1,gener,4
000,INCENDIS,05,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2025,2,febrer,6
000,INCENDIS,05,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2025,3,març,4
000,INCENDIS,05,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2025,4,abril,8
000,INCENDIS,05,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2025,5,maig,7
000,INCENDIS,05,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2025,6,juny,10
000,INCENDIS,05,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2025,7,juliol,11
000,INCENDIS,05,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2025,8,agost,6
000,INCENDIS,05,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2025,9,setembre,3
000,INCENDIS,05,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2025,10,octubre,4
000,INCENDIS,05,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2025,11,novembre,14
000,INCENDIS,05,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2025,12,desembre,6
000,INCENDIS,05,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,2025,1,gener,21
000,INCENDIS,05,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,2025,2,febrer,11
000,INCENDIS,05,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,2025,3,març,12
000,INCENDIS,05,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,2025,4,abril,17
000,INCENDIS,05,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,2025,5,maig,12
000,INCENDIS,05,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,2025,6,juny,15
000,INCENDIS,05,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,2025,7,juliol,12
000,INCENDIS,05,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,2025,8,agost,5
