codi_barri,delta_pct_pob_estrangera,delta_pct_pob_estrangera_occidental,delta_pct_joves,delta_pct_universitaris,delta_pob_pct,delta_renda_pct,delta_gini_pct,delta_pct_total_incidents_1000_hab,delta_pct_locals_restauracio_1000_hab,delta_pct_locals_sanitaris_1000_hab,delta_pct_locals_serveis_professionals_1000_hab,delta_pct_preu_mitja_m2,delta_pct_pisos_turistics_1000_hab
55,0.03085709946212034,-0.0027753383819987716,-0.02369470781238059,0.015739304510024726,0.06035745678288895,0.28650955248451254,-0.18707810993249763,0.26897372261416763,0.06882195818366034,2.772312793589389,-0.5284609008013265,0.5757575757575759,
56,0.052993911207661504,-0.00689961141878041,-0.048817428020683534,0.009714530489857112,0.06521739130434782,0.3792182568584608,-0.1483679525222553,0.4313429075333838,0.40816326530612274,,inf,0.0,
57,0.01809165688098291,0.004833436346628653,-0.029645020896596486,0.02242561200210337,0.021652761223678985,0.3244643770042293,-0.07761732851985534,0.047094945037056496,0.14903329979964344,1.93641843282131,0.7129107524790979,0.5625,-0.02119385572622986
58,0.048290370762440804,0.0029863350749720213,-0.025902688356944592,0.020281425176842595,0.040290088638195005,0.41734585951595843,-0.1674140508221226,0.3601975213013166,0.44190549961270326,inf,,0.9166666666666666,
59,0.1369727262858661,0.0007649909228828952,0.010038378068767173,0.030904538911575546,0.14920382165605095,0.31520728634752965,-0.09897292250233426,0.04420119163087168,0.8884489635877466,-0.12983234030760712,2.35636097309923,0.23863636363636356,-0.129832340307607
60,0.0363422540932814,0.006547179611429119,-0.03382273240891537,0.05156426010751114,0.02497743003310262,0.28040623612430554,-0.04931506849315075,0.10814481983755825,-0.011587565739370798,0.26419822517016356,-0.05438818374813667,0.4,0.1924381809877991
61,0.05769815743654538,0.012340295792409937,-0.015938160391406775,0.059816577057979686,0.03491470293089726,0.2701497315577012,-0.040444893832153786,0.08799715452848035,-0.02453428609640983,-0.13369505564189965,-0.3200370023628014,0.4948453608247424,0.012275740843348199
62,0.043524169942141366,0.011274616499519673,0.003579679272865982,0.06655058672460704,0.041079310835825146,0.27995755601618805,-0.07040780759846633,0.10622787252606078,0.03538901090703066,0.6809478219243656,-0.265468178654899,0.47368421052631576,0.44081241879231337
63,0.043651188431036214,0.013744187486798932,-0.0028592584940916876,0.06549349340535973,0.004461440407903123,0.2920147159135384,-0.07493154095095846,0.1387709493916874,0.15938443744779293,0.5928934010152285,-0.11505922165820652,0.4948453608247424,0.9911167512690353
64,0.07429208127350406,0.02859890271735746,0.006460644676921534,0.07725610194379295,0.0045849926640117375,0.3054741824464836,-0.059945839487937094,0.13280609237670485,-0.02508851869089403,0.9043122206989768,-0.3189122559940262,0.49056603773584917,0.07654552813251936
65,0.052482952349846235,0.02467183578550207,1.8659259147457696e-05,0.07648170817479791,-0.01715431457002822,0.3337646252654787,-0.07180451127819547,0.08843886453290707,0.06370161761170454,1.0349074423876086,0.17398506291592813,0.4951456310679611,-0.0028953532300716846
66,0.07392581839290047,0.03249490135947418,-0.032669740760843724,0.07377583359201456,0.11554407666689322,0.36233611442193087,-0.04672897196261697,0.07048639516745837,0.13371215786625384,0.9721318467068791,-0.6276394415308691,0.5043478260869566,-0.1124519141733219
67,0.06199089395394475,0.018660372953593934,0.02531083616909799,0.060505863240279956,0.0007501875468867217,0.2737299094771845,-0.05778032036613281,0.06411043970915144,0.8025693035835024,1.997751124437781,-0.22280526403464943,0.4265734265734264,-0.05476315896105985
68,0.0698767079178928,0.03496883849087089,-0.01778185371590163,0.09239497629941379,0.02135359033406107,0.3885355376923289,-0.026436430317848363,0.047203659451056736,-0.031666409781252465,0.8765946336368872,-0.31961344159959576,0.5213675213675215,0.01767779232567943
69,0.06546871594153991,0.013329748637428168,-0.0480418115070895,0.0540976332303178,0.005906983699715866,0.3394142170530284,-0.011018069634199995,0.08271334083531008,0.6983014940905374,0.5622006774909476,-0.17156024678510368,0.504,-0.1429933587432108
70,0.14541296226687006,0.01124085238299273,0.019470264310626206,0.040949189337576256,0.22097706181054105,0.33547864148496404,-0.0811004784688994,-0.06981991845936698,-0.05409396000266611,1.1294421339452172,-0.34478703570916397,0.488095238095238,-0.1263827142788852
71,0.06876680340795771,0.02350420297953431,-0.021476748451607186,0.06847796438437256,0.055051331647076325,0.33442274221620577,-0.05160239000543179,0.07499215795142337,-0.03063742772528558,0.3852771118318996,-0.214662449382517,0.6300000000000001,-0.13116391670192262
72,0.06658202477562158,0.011936730477776578,0.001158290678568985,0.054311961013067095,0.007623888182973317,0.2746343714553116,-0.04549911747401448,0.13813152316814664,0.01268754664539203,0.41030065706510943,0.08695130006605412,0.4361702127659574,0.5437859044416424
73,0.06967961823937041,0.008296704104271899,-0.007244134661129109,0.04545888423856885,0.018205869043060534,0.28114130565752776,-0.04796680497925288,0.23377390158342545,-0.08741093714545024,0.8005527065527064,1.2631452991452994,0.7912087912087914,0.47317948717948716
