Territori,Tipus de territori,Temps,Activitats immobiliàries,Ensenyament,Equipaments culturals i recreatius,Finances i assegurances,"Manteniment, neteja i producció",Reparacions (Electrodomèstics i automòbils),"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",Sanitat i assistència
el Guinardó,Barri,31 Des. 2019,21,36,10,24,10,46,120,33
el Guinardó,Barri,31 Des. 2022,23,34,13,15,6,41,119,29
el Guinardó,Barri,31 Des. 2024,23,40,12,11,5,45,118,41
la Font d'en Fargues,Barri,31 Des. 2014,3,30,-,2,-,5,15,2
la Font d'en Fargues,Barri,31 Des. 2016,4,17,3,1,-,5,15,3
la Font d'en Fargues,Barri,31 Des. 2019,3,16,2,1,-,5,14,3
la Font d'en Fargues,Barri,31 Des. 2022,3,16,1,-,-,3,11,4
la Font d'en Fargues,Barri,31 Des. 2024,1,17,1,-,-,2,13,6
el Carmel,Barri,31 Des. 2014,7,17,-,21,14,15,85,8
el Carmel,Barri,31 Des. 2016,18,22,5,19,3,23,88,18
el Carmel,Barri,31 Des. 2019,19,23,5,15,6,20,74,18
el Carmel,Barri,31 Des. 2022,13,21,4,14,3,21,76,17
el Carmel,Barri,31 Des. 2024,14,23,5,13,5,25,80,20
la Teixonera,Barri,31 Des. 2014,3,4,-,3,3,11,28,2
la Teixonera,Barri,31 Des. 2016,2,3,2,2,-,10,30,4
la Teixonera,Barri,31 Des. 2019,2,4,3,2,-,9,27,3
la Teixonera,Barri,31 Des. 2022,4,1,3,1,-,6,24,4
la Teixonera,Barri,31 Des. 2024,4,3,3,1,-,5,24,5
Sant Genís dels Agudells,Barri,31 Des. 2014,-,14,1,4,-,1,15,2
Sant Genís dels Agudells,Barri,31 Des. 2016,-,10,3,4,1,3,16,5
Sant Genís dels Agudells,Barri,31 Des. 2019,-,8,3,4,1,5,15,5
Sant Genís dels Agudells,Barri,31 Des. 2022,-,8,4,3,1,5,14,6
Sant Genís dels Agudells,Barri,31 Des. 2024,-,8,4,3,1,5,14,6
Montbau,Barri,31 Des. 2014,2,21,-,2,2,-,13,4
Montbau,Barri,31 Des. 2016,3,8,1,3,1,1,14,10
Montbau,Barri,31 Des. 2019,2,10,2,4,1,1,16,12
Montbau,Barri,31 Des. 2022,2,10,3,2,1,1,15,9
Montbau,Barri,31 Des. 2024,2,10,3,2,1,1,15,9
la Vall d'Hebron,Barri,31 Des. 2014,1,9,1,2,-,1,11,1
la Vall d'Hebron,Barri,31 Des. 2016,2,9,5,3,1,2,13,2
la Vall d'Hebron,Barri,31 Des. 2019,2,8,4,3,1,3,13,3
la Vall d'Hebron,Barri,31 Des. 2022,2,9,4,3,-,3,12,3
la Vall d'Hebron,Barri,31 Des. 2024,2,9,4,2,-,3,13,4
la Clota,Barri,31 Des. 2014,-,-,-,-,-,-,2,-
la Clota,Barri,31 Des. 2016,-,1,-,-,-,-,2,-
la Clota,Barri,31 Des. 2019,-,1,-,-,-,-,1,-
la Clota,Barri,31 Des. 2022,-,2,-,-,-,-,1,-
la Clota,Barri,31 Des. 2024,-,2,-,-,-,-,1,-
Horta,Barri,31 Des. 2014,10,20,2,16,8,15,112,15
Horta,Barri,31 Des. 2016,11,23,21,15,6,17,113,31
Horta,Barri,31 Des. 2019,14,32,14,12,5,17,108,27
Horta,Barri,31 Des. 2022,12,26,11,8,7,17,107,26
Horta,Barri,31 Des. 2024,13,26,9,9,4,17,104,29
Vilapicina i la Torre Llobeta,Barri,31 Des. 2014,9,29,-,25,11,26,117,22
Vilapicina i la Torre Llobeta,Barri,31 Des. 2016,12,40,12,28,4,41,123,29
Vilapicina i la Torre Llobeta,Barri,31 Des. 2019,14,42,9,21,6,40,118,38
Vilapicina i la Torre Llobeta,Barri,31 Des. 2022,16,42,6,17,6,45,115,32
Vilapicina i la Torre Llobeta,Barri,31 Des. 2024,19,44,6,15,4,39,128,40
Porta,Barri,31 Des. 2014,4,17,-,18,10,26,95,13
Porta,Barri,31 Des. 2016,6,29,11,19,8,45,105,15
Porta,Barri,31 Des. 2019,7,31,10,14,8,27,105,19
Porta,Barri,31 Des. 2022,7,32,11,13,6,32,104,22
Porta,Barri,31 Des. 2024,7,28,10,13,5,29,108,25
el Turó de la Peira,Barri,31 Des. 2014,6,7,1,8,9,4,46,9
el Turó de la Peira,Barri,31 Des. 2016,9,9,1,10,-,8,49,10
el Turó de la Peira,Barri,31 Des. 2019,9,10,2,4,-,7,52,13
el Turó de la Peira,Barri,31 Des. 2022,10,10,2,5,-,6,52,13
el Turó de la Peira,Barri,31 Des. 2024,8,12,2,3,1,6,57,12
Can Peguera,Barri,31 Des. 2014,-,4,-,-,-,-,2,1
Can Peguera,Barri,31 Des. 2016,-,3,2,-,-,1,2,2
Can Peguera,Barri,31 Des. 2019,-,3,2,-,-,-,2,2
Can Peguera,Barri,31 Des. 2022,-,4,1,-,-,-,1,2
Can Peguera,Barri,31 Des. 2024,-,3,1,-,-,-,1,2
la Guineueta,Barri,31 Des. 2014,1,27,-,15,2,8,50,11
la Guineueta,Barri,31 Des. 2016,1,15,7,13,1,9,44,12
la Guineueta,Barri,31 Des. 2019,2,18,4,7,2,7,44,19
la Guineueta,Barri,31 Des. 2022,2,20,7,4,2,7,51,15
la Guineueta,Barri,31 Des. 2024,4,20,7,4,2,8,53,14
Canyelles,Barri,31 Des. 2014,1,5,1,4,1,4,20,1
Canyelles,Barri,31 Des. 2016,1,4,3,3,1,5,17,2
Canyelles,Barri,31 Des. 2019,1,5,2,3,1,5,18,1
Canyelles,Barri,31 Des. 2022,1,5,3,2,1,6,19,2
Canyelles,Barri,31 Des. 2024,1,5,3,2,1,6,19,2
les Roquetes,Barri,31 Des. 2014,3,6,1,6,2,11,46,3
les Roquetes,Barri,31 Des. 2016,2,9,8,8,2,14,46,8
les Roquetes,Barri,31 Des. 2019,3,8,7,8,-,13,43,6
les Roquetes,Barri,31 Des. 2022,3,8,7,6,-,11,45,7
les Roquetes,Barri,31 Des. 2024,5,7,7,5,-,12,45,7
Verdun,Barri,31 Des. 2014,6,13,2,8,8,9,63,6
Verdun,Barri,31 Des. 2016,7,16,5,12,2,8,51,14
Verdun,Barri,31 Des. 2019,7,15,3,12,1,13,50,9
Verdun,Barri,31 Des. 2022,5,17,2,12,1,11,48,8
Verdun,Barri,31 Des. 2024,9,19,3,11,1,9,52,9
la Prosperitat,Barri,31 Des. 2014,4,16,-,21,13,36,127,19
la Prosperitat,Barri,31 Des. 2016,7,17,7,22,4,34,131,23
la Prosperitat,Barri,31 Des. 2019,13,21,8,15,4,33,131,23
la Prosperitat,Barri,31 Des. 2022,8,21,8,12,3,33,119,26
la Prosperitat,Barri,31 Des. 2024,11,25,8,11,7,31,124,28
la Trinitat Nova,Barri,31 Des. 2014,-,5,1,2,-,-,9,-
la Trinitat Nova,Barri,31 Des. 2016,-,4,3,1,2,2,11,4
la Trinitat Nova,Barri,31 Des. 2019,-,4,4,1,2,2,11,4
la Trinitat Nova,Barri,31 Des. 2022,-,5,3,1,-,-,13,3
la Trinitat Nova,Barri,31 Des. 2024,-,5,3,1,-,-,13,3
Torre Baró,Barri,31 Des. 2014,-,9,-,-,-,-,1,-
Torre Baró,Barri,31 Des. 2016,-,2,1,-,1,-,6,3
Torre Baró,Barri,31 Des. 2019,-,3,1,-,-,-,4,3
Torre Baró,Barri,31 Des. 2022,-,3,1,-,-,-,3,3
Torre Baró,Barri,31 Des. 2024,-,3,1,-,-,-,3,3
Ciutat Meridiana,Barri,31 Des. 2014,2,1,-,9,3,3,15,1
Ciutat Meridiana,Barri,31 Des. 2016,1,6,1,6,-,2,20,3
Ciutat Meridiana,Barri,31 Des. 2019,1,6,1,8,-,3,18,3
